,Label,Checkpoint,OriginalLoss,AblatedLoss
406,L4N45,80,2.9944830322265625,3.0029521214962007
407,L5N389,80,2.9944830322265625,3.004666267633438
408,L5N1599,80,2.9944830322265625,2.9959287053346633
409,L5N1336,80,2.9944830322265625,3.0349968773126603
410,L5N1712,80,2.9944830322265625,2.9944644558429716
411,L5N148,80,2.9944830322265625,2.994362770318985
412,L5N1848,80,2.9944830322265625,2.995150110721588
413,L5N1225,80,2.9944830322265625,2.9954194724559784
414,L5N750,80,2.9944830322265625,2.994903973340988
415,L3N1542,80,2.9944830322265625,2.9956490743160247
416,L5N592,80,2.9944830322265625,2.994708498120308
417,L5N1638,80,2.9944830322265625,2.994533595442772
418,L5N1272,80,2.9944830322265625,2.9953026086091996
419,L5N1331,80,2.9944830322265625,2.994560054540634
420,L5N322,80,2.9944830322265625,2.9942058116197585
421,L4N482,80,2.9944830322265625,3.011243544816971
422,L4N1970,80,2.9944830322265625,2.994368897676468
423,L5N725,80,2.9944830322265625,2.9945384955406187
424,L4N1271,80,2.9944830322265625,2.996346410512924
425,L5N264,80,2.9944830322265625,2.9949243599176407
426,L5N1541,80,2.9944830322265625,2.9945635122060774
427,L5N432,80,2.9944830322265625,2.994783874750137
428,L4N768,80,2.9944830322265625,2.994704793095589
429,L5N1369,80,2.9944830322265625,2.994376195073128
430,L4N257,80,2.9944830322265625,2.996595759987831
431,L5N1453,80,2.9944830322265625,2.995303710103035
432,L5N226,80,2.9944830322265625,2.9949682861566544
433,L5N1199,80,2.9944830322265625,2.99500697016716
434,L5N1693,80,2.9944830322265625,2.999818277359009
435,L5N1212,80,2.9944830322265625,2.99460655272007
436,L4N571,80,2.9944830322265625,2.9945044642686844
437,L4N2014,80,2.9944830322265625,2.9943709993362426
438,L5N1787,80,2.9944830322265625,2.995349537730217
439,L5N742,80,2.9944830322265625,2.994495552778244
440,L4N189,80,2.9944830322265625,2.9945125180482863
441,L5N943,80,2.9944830322265625,2.9954453414678572
442,L3N60,80,2.9944830322265625,2.997863420844078
443,L5N1086,80,2.9944830322265625,2.9945088160037994
444,L4N851,80,2.9944830322265625,3.000276725888252
445,L4N779,80,2.9944830322265625,2.995009407401085
446,L5N1465,80,2.9944830322265625,2.9948165053129197
447,L5N1436,80,2.9944830322265625,2.99481538772583
448,L5N823,80,2.9944830322265625,2.9980527341365812
449,L5N938,80,2.9944830322265625,2.9953395092487334
450,L5N395,90,3.036238126158714,3.112383058667183
451,L3N669,90,3.036238126158714,3.3312019300460816
452,L4N1276,90,3.036238126158714,3.0381671357154847
453,L5N1655,90,3.036238126158714,3.0361986219882966
454,L5N953,90,3.036238126158714,3.038889545798302
455,L5N444,90,3.036238126158714,3.047609714269638
456,L4N45,90,3.036238126158714,3.0431679034233095
457,L5N389,90,3.036238126158714,3.043579553961754
458,L5N1599,90,3.036238126158714,3.038509979248047
459,L5N1336,90,3.036238126158714,3.0648475980758665
460,L5N1712,90,3.036238126158714,3.036379461288452
461,L5N148,90,3.036238126158714,3.0362937980890274
462,L5N1848,90,3.036238126158714,3.03710284948349
