Trigram,Original,Ablated,Direct Effect,Indirect Effect
ine Anwend,3.468210458755493,4.9764251708984375,2.7295732498168945,5.758865833282471
u all dies,6.245472431182861,7.925877571105957,5.730226993560791,8.798258781433105
abschät,4.506174087524414,6.489205360412598,4.507983207702637,6.759469032287598
ents missacht,4.728023052215576,6.365434646606445,4.050332069396973,7.460634708404541
 ist untrenn,3.6441829204559326,7.306403636932373,4.663390636444092,6.70307731628418
 sich veränder,3.568585157394409,4.9018402099609375,2.0817205905914307,6.453525066375732
richt von der,2.6956305503845215,3.5777065753936768,2.5745909214019775,3.8782780170440674
sicht zu,4.900134563446045,4.848362445831299,3.0310442447662354,7.174220561981201
 die Erricht,4.684982776641846,6.488698959350586,4.0471086502075195,7.109297752380371
iesen werden,5.994816780090332,6.394834995269775,4.9306206703186035,7.876073837280273
arer gemacht,2.9845378398895264,5.806917190551758,3.026317596435547,5.8491668701171875
ichen verwend,3.602161169052124,5.803550720214844,3.7790520191192627,5.895888328552246
 Initiierung,4.874411582946777,5.630252361297607,4.195368766784668,6.532515048980713
uss gemacht,1.891770839691162,4.257818698883057,1.7913269996643066,4.675195693969727
ellt worden und,3.550874948501587,4.408326625823975,3.333069324493408,5.701570987701416
ig veränder,3.7215936183929443,5.146971225738525,2.5039854049682617,6.408541679382324
genschwe,4.108616352081299,7.883430004119873,5.686420917510986,6.783275127410889
 verheeren,1.3551956415176392,3.2135684490203857,1.0411388874053955,4.066799163818359
en untrenn,2.6630547046661377,5.0611572265625,3.359035015106201,4.893864631652832
 zu erwe,4.0740790367126465,5.651029109954834,3.9367082118988037,5.855843544006348
Die schwe,4.048551082611084,5.925620079040527,3.613399028778076,6.709721088409424
folgt wird,5.17979097366333,5.545754909515381,4.567977428436279,6.493355751037598
 ein Bewe,4.348588943481445,6.210978031158447,4.029293060302734,6.582079887390137
iedsländer,3.2497191429138184,5.302522659301758,2.7660460472106934,6.641087532043457
 eine erwe,4.527490615844727,6.2364501953125,4.763781547546387,6.089805603027344
dern verwend,3.8142504692077637,5.933620452880859,3.827004909515381,6.079208850860596
 umbracht,1.999656319618225,3.782620668411255,1.6335439682006836,4.7931365966796875
oll nacht,3.578702926635742,5.404379844665527,3.558915853500366,5.502476215362549
ren Akt der,7.259077072143555,8.99923038482666,6.356385231018066,9.995794296264648
 unglück,3.4216997623443604,3.6307835578918457,1.4201217889785767,5.857048988342285
ängt wird,5.003667831420898,5.60124397277832,4.370526313781738,6.62404727935791
ute untrenn,2.8610551357269287,5.299240589141846,3.5583653450012207,5.161057472229004
ine freunds,4.336890697479248,3.869032621383667,2.7772984504699707,5.866044998168945
asst und,3.957383871078491,4.676259517669678,3.308316230773926,5.727171897888184
inen Rück,2.535243511199951,3.4991564750671387,1.926972508430481,4.381401538848877
en gestär,5.297749996185303,7.121920108795166,4.563634872436523,8.123133659362793
ichts dieser,6.405036926269531,7.242823123931885,5.890743732452393,8.41411018371582
 der in dies,3.6675987243652344,5.385993003845215,3.9880454540252686,5.3346710205078125
 Grundsät,1.7062994241714478,3.4904332160949707,1.844757318496704,3.9745614528656006
druck zu,4.527627944946289,5.465339183807373,3.706602096557617,6.835202693939209
ir beginnen,3.3032548427581787,3.5209343433380127,1.2810249328613281,6.420401573181152
und schät,4.84867000579834,6.224565505981445,3.981236457824707,7.465329647064209
elt verpf,4.829621315002441,7.530966758728027,5.846065521240234,6.7589335441589355
i all dies,5.539882659912109,7.3754754066467285,5.197185516357422,8.03940486907959
roffen und,3.0844383239746094,3.994105339050293,3.133105754852295,4.310649394989014
cheid zu,7.092782497406006,6.610616207122803,4.50486421585083,9.468400955200195
end gemacht,2.7996325492858887,5.066359043121338,2.265216588973999,5.692238807678223
 untersucht,2.341732978820801,4.2965989112854,2.651115655899048,4.319314002990723
ung in die,2.806865692138672,3.286168336868286,2.2166635990142822,4.122633457183838
entsfreund,2.6017422676086426,5.075502395629883,2.785905599594116,5.07785701751709
 genannten,1.8862909078598022,3.431246757507324,2.809056282043457,3.2915594577789307
 ist zwe,2.6341161727905273,4.023190498352051,2.0428526401519775,4.853272438049316
chaftszwe,1.9729323387145996,4.636501789093018,2.347989797592163,4.743628025054932
 unter Bewe,4.111550331115723,6.650788307189941,4.5337700843811035,6.341926097869873
 die schwe,3.7325053215026855,5.413144588470459,3.2014904022216797,6.287314414978027
