Checkpoint,Type,Logprob
35,German (Ablated),-3.083178997039795
36,German (Ablated),-0.8346513509750366
37,German (Ablated),-2.0789554119110107
38,German (Ablated),-2.8329029083251953
39,German (Ablated),-1.9853777885437012
40,German (Ablated),-1.5102885961532593
41,German (Ablated),-2.27628231048584
42,German (Ablated),-2.2259349822998047
43,German (Ablated),-2.231006383895874
44,German (Ablated),-2.93928599357605
45,German (Ablated),-1.9732930660247803
46,German (Ablated),-4.304599761962891
47,German (Ablated),-4.313827991485596
48,German (Ablated),-2.089785099029541
49,German (Ablated),-6.438087463378906
50,German (Ablated),-3.433349132537842
51,German (Ablated),-2.894589424133301
52,German (Ablated),-2.8709471225738525
53,German (Ablated),-3.407191753387451
54,German (Ablated),-4.722356796264648
55,German (Ablated),-3.0842103958129883
56,German (Ablated),-5.960079193115234
57,German (Ablated),-4.972779273986816
58,German (Ablated),-4.953464508056641
59,German (Ablated),-4.4658355712890625
60,German (Ablated),-4.590174674987793
61,German (Ablated),-5.463947772979736
62,German (Ablated),-4.119174480438232
63,German (Ablated),-3.822096586227417
64,German (Ablated),-4.213863849639893
65,German (Ablated),-1.9221079349517822
66,German (Ablated),-3.112544059753418
67,German (Ablated),-2.2822585105895996
68,German (Ablated),-4.143627643585205
69,German (Ablated),-3.0089104175567627
70,German (Ablated),-3.055631399154663
71,German (Ablated),-3.301496982574463
72,German (Ablated),-4.491817951202393
73,German (Ablated),-4.72567081451416
74,German (Ablated),-4.204952239990234
75,German (Ablated),-3.8865323066711426
76,German (Ablated),-3.456779956817627
77,German (Ablated),-3.3487799167633057
78,German (Ablated),-4.254065990447998
79,German (Ablated),-2.114187002182007
80,German (Ablated),-2.144458293914795
81,German (Ablated),-4.216512203216553
82,German (Ablated),-4.536026954650879
83,German (Ablated),-3.398841619491577
84,German (Ablated),-3.594411849975586
85,German (Ablated),-3.9523990154266357
86,German (Ablated),-6.162973403930664
87,German (Ablated),-5.0945892333984375
88,German (Ablated),-3.3723278045654297
89,German (Ablated),-3.735029697418213
90,German (Ablated),-2.797496795654297
91,German (Ablated),-4.340991973876953
92,German (Ablated),-3.510288953781128
93,German (Ablated),-4.942686080932617
94,German (Ablated),-4.178311824798584
95,German (Ablated),-2.8221707344055176
96,German (Ablated),-4.613656044006348
